/Users/santhosh.m/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-01-02 15:53:56,856 - INFO - 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
2026-01-02 15:53:56,856 - INFO - 🚀 AUTOMATED KAYAKO MONITOR - STARTING
2026-01-02 15:53:56,856 - INFO - 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
2026-01-02 15:53:56,856 - INFO -    📧 Monitoring: santhosh.m@trilogy.com
2026-01-02 15:53:56,856 - INFO -    ⏱️  Check interval: 60 seconds
2026-01-02 15:53:56,856 - INFO -    🌐 Flask URL: http://localhost:8080
2026-01-02 15:53:56,856 - INFO -    📊 Dashboards: 139 (Classic), 143 (Aurora)
2026-01-02 15:53:56,856 - INFO - ================================================================================

2026-01-02 15:53:56,856 - WARNING - ⚠️  NOTE: This is a TEMPLATE script.
2026-01-02 15:53:56,856 - WARNING -    It requires MCP integration to actually fetch tickets.
2026-01-02 15:53:56,856 - WARNING -    Use this as a reference for building the full solution.

2026-01-02 15:53:56,856 - INFO - 🔄 Cycle #1
2026-01-02 15:53:56,856 - INFO - ================================================================================
2026-01-02 15:53:56,856 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:53:56
2026-01-02 15:53:56,856 - INFO - ================================================================================
2026-01-02 15:53:56,856 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:53:56,857 - INFO - 📊 Found 0 open tickets
2026-01-02 15:53:56,857 - INFO - 

2026-01-02 15:53:56,857 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:54:56,859 - INFO - 🔄 Cycle #2
2026-01-02 15:54:56,860 - INFO - ================================================================================
2026-01-02 15:54:56,860 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:54:56
2026-01-02 15:54:56,860 - INFO - ================================================================================
2026-01-02 15:54:56,860 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:54:56,860 - INFO - 📊 Found 0 open tickets
2026-01-02 15:54:56,860 - INFO - 

2026-01-02 15:54:56,860 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:55:56,866 - INFO - 🔄 Cycle #3
2026-01-02 15:55:56,866 - INFO - ================================================================================
2026-01-02 15:55:56,867 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:55:56
2026-01-02 15:55:56,867 - INFO - ================================================================================
2026-01-02 15:55:56,867 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:55:56,867 - INFO - 📊 Found 0 open tickets
2026-01-02 15:55:56,867 - INFO - 

2026-01-02 15:55:56,867 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:55:08,465 - INFO - 🔄 Cycle #4
2026-01-02 15:55:08,467 - INFO - ================================================================================
2026-01-02 15:55:08,470 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:55:08
2026-01-02 15:55:08,471 - INFO - ================================================================================
2026-01-02 15:55:08,472 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:55:08,473 - INFO - 📊 Found 0 open tickets
2026-01-02 15:55:08,474 - INFO - 

2026-01-02 15:55:08,475 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:56:08,482 - INFO - 🔄 Cycle #5
2026-01-02 15:56:08,484 - INFO - ================================================================================
2026-01-02 15:56:08,486 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:56:08
2026-01-02 15:56:08,487 - INFO - ================================================================================
2026-01-02 15:56:08,488 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:56:08,490 - INFO - 📊 Found 0 open tickets
2026-01-02 15:56:08,491 - INFO - 

2026-01-02 15:56:08,492 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:55:56,866 - INFO - 🔄 Cycle #3
2026-01-02 15:55:56,866 - INFO - ================================================================================
2026-01-02 15:55:56,867 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:55:56
2026-01-02 15:55:56,867 - INFO - ================================================================================
2026-01-02 15:55:56,867 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:55:56,867 - INFO - 📊 Found 0 open tickets
2026-01-02 15:55:56,867 - INFO - 

2026-01-02 15:55:56,867 - INFO - 💤 Sleeping 60 seconds...

2026-01-02 15:56:08,482 - INFO - 🔄 Cycle #5
2026-01-02 15:56:08,484 - INFO - ================================================================================
2026-01-02 15:56:08,486 - INFO - 🔍 MONITORING CYCLE: 2026-01-02 15:56:08
2026-01-02 15:56:08,487 - INFO - ================================================================================
2026-01-02 15:56:08,488 - INFO - 🔍 Searching for open tickets...
2026-01-02 15:56:08,490 - INFO - 📊 Found 0 open tickets
2026-01-02 15:56:08,491 - INFO - 

2026-01-02 15:56:08,492 - INFO - 💤 Sleeping 60 seconds...

